sku_original,competidor,marca,categoria,nombre_producto,url_producto,precio_regular,precio_oferta,cuotas,hay_stock
FRA-multigroom-trimmer-philips-serie-7000-mg,Fravega,PHILIPS,Pequeños Electrodomésticos,Multigroom Trimmer Philips Serie 7000 MG7935/15 16 en 1,https://www.fravega.com/p/multigroom-trimmer-philips-serie-7000-mg7935-15-16-1-30474/,108999.0,76999.0,1,True
FRA-cortabarba-philips-oneblade-pro-qp6532-1,Fravega,PHILIPS,Pequeños Electrodomésticos,Cortabarba Philips OneBlade Pro QP6532/10,https://www.fravega.com/p/cortabarba-philips-oneblade-pro-qp6532-10-30623/,109999.0,82499.0,1,True
FRA-freidora-de-aire-atma-con-visor-fr246abp,Fravega,ATMA,Pequeños Electrodomésticos,Freidora de Aire ATMA con Visor FR246ABP 6Lts Negro,https://www.fravega.com/p/freidora-de-aire-atma-con-visor-fr246abp-6lts-negro-13898/,189999.0,99999.0,1,True
FRA-pava-electrica-kanji-home-con-corte-mate,Fravega,OTRAS,Pequeños Electrodomésticos,Pava Eléctrica Kanji Home con Corte Mate KJH-PE15002M,https://www.fravega.com/p/pava-electrica-kanji-home-con-corte-mate-kjh-pe15002m--13629/,29999.0,17999.0,1,True
FRA-freidora-de-aire-admiral-ad-af505-6-3-li,Fravega,OTRAS,Pequeños Electrodomésticos,"Freidora de Aire Admiral AD-AF505 6,3 Litros",https://www.fravega.com/p/freidora-de-aire-admiral-ad-af505-6-3-litros-13978/,149999.0,84999.0,1,True
FRA-microondas-atma-94watds20ucp-20-lts-silv,Fravega,ATMA,Pequeños Electrodomésticos,Microondas ATMA 94WATDS20UCP 20 Lts Silver,https://www.fravega.com/p/microondas-atma-94watds20ucp-20-lts-silver-110371/,241999.0,189999.0,1,True
FRA-freidora-de-aire-atma-con-visor-fr248abp,Fravega,ATMA,Pequeños Electrodomésticos,Freidora de Aire ATMA con Visor FR248ABP 8Lts Negro,https://www.fravega.com/p/freidora-de-aire-atma-con-visor-fr248abp-8lts-negro-14103/,204999.0,129999.0,1,True
FRA-microondas-bgh-20-lt-digital-eco-b120ds2,Fravega,BGH,Pequeños Electrodomésticos,Microondas BGH 20 Lt Digital Eco B120DS20,https://www.fravega.com/p/microondas-bgh-20-lt-digital-eco-b120ds20-110218/,289999.0,199999.0,1,True
FRA-cafetera-espresso-suono-20-bar-espumador,Fravega,OTRAS,Pequeños Electrodomésticos,Cafetera Espresso Suono 20 Bar Espumador HOG0389ACE,https://www.fravega.com/p/cafetera-espresso-suono-20-bar-espumador-hog0389ace-13969/,179999.0,99999.0,1,True
FRA-freidora-de-aire-y-hornito-atma-hfr582dp,Fravega,ATMA,Pequeños Electrodomésticos,"Freidora de Aire y Hornito Atma HFR582DP 11,6 Litros",https://www.fravega.com/p/freidora-de-aire-y-hornito-atma-hfr582dp-11-6-litros-14039/,294999.0,159999.0,1,True
FRA-yogurtera-ultracomb-yg-2707-13859,Fravega,OTRAS,Pequeños Electrodomésticos,Yogurtera Ultracomb YG-2707,https://www.fravega.com/p/yogurtera-ultracomb-yg-2707-13859/,75099.0,37999.0,1,True
FRA-aspiradora-vertical-inalambrica-electrol,Fravega,OTRAS,Pequeños Electrodomésticos,Aspiradora Vertical Inalámbrica Electrolux Stick 2 en 1 ERG019,https://www.fravega.com/p/aspiradora-vertical-inalambrica-electrolux-stick-2-1-erg019-60832/,269999.0,149999.0,1,True
FRA-afeitadora-philips-s1881-00-serie-1000-u,Fravega,PHILIPS,Pequeños Electrodomésticos,Afeitadora Philips S1881/00 Serie 1000 uso en Húmedo y Seco,https://www.fravega.com/p/afeitadora-philips-s1881-00-serie-1000-uso-humedo-y-seco-30625/,81999.0,48999.0,1,True
FRA-freidora-de-aire-peabody-pe-afd720n-7-2l,Fravega,OTRAS,Pequeños Electrodomésticos,"Freidora De Aire Peabody PE-AFD720N 7,2L",https://www.fravega.com/p/freidora-de-aire-peabody-pe-afd720n-7-2l-13837/,139999.0,99999.0,1,True
FRA-freidora-de-aire-atma-con-visor-fr246awp,Fravega,ATMA,Pequeños Electrodomésticos,Freidora de Aire ATMA con Visor FR246AWP 6Lts Blanco,https://www.fravega.com/p/freidora-de-aire-atma-con-visor-fr246awp-6lts-blanco-14102/,189999.0,99999.0,1,True
FRA-mixer-moulinex-turbomix-inox-plus-600w-1,Fravega,OTRAS,Pequeños Electrodomésticos,Mixer Moulinex Turbomix Inox Plus 600W,https://www.fravega.com/p/mixer-moulinex-turbomix-inox-plus-600w-180651/,105999.0,79999.0,1,True
FRA-aspiradora-philco-stick-vertical-2-1-hvc,Fravega,PHILCO,Pequeños Electrodomésticos,Aspiradora Philco Stick Vertical 2 en 1 HVCPH177PI,https://www.fravega.com/p/aspiradora-philco-stick-vertical-2-1-hvcph177pi--60288/,129999.0,49999.0,1,True
FRA-secador-de-pelo-ga-ma-mistral-ceramic-io,Fravega,OTRAS,Belleza y Cuidado Personal,Secador de Pelo GA.MA Mistral Ceramic Ion,https://www.fravega.com/p/secador-de-pelo-ga-ma-mistral-ceramic-ion-13349/,74999.0,49999.0,1,True
